Day,Month,Year,Time,Station,Particle,Reading
19,5,2013,20,Skopje_Mrsevci,PM10,
19,5,2013,1,Skopje_Miladinovci,PM10,52.48
25,5,2013,17,Skopje_Miladinovci,PM10,18.88
18,5,2013,11,Skopje_Miladinovci,PM10,38.75
9,6,2013,21,Skopje_Lisice,PM10,56.1
27,5,2013,3,Skopje_Centar,PM10,
2,6,2013,11,Skopje_Miladinovci,PM10,10.67
11,6,2013,12,Skopje_Miladinovci,PM10,
5,6,2013,8,Skopje_Lisice,PM10,46.87
4,6,2013,24,Skopje_Karpos,PM10,25.13
20,5,2013,12,Skopje_Rektorat,PM10,53
28,5,2013,15,Skopje_Centar,PM10,
18,5,2013,5,Skopje_Miladinovci,PM10,46.7
9,6,2013,15,Skopje_Rektorat,PM10,21.27
29,5,2013,2,Skopje_Lisice,PM10,24.72
5,6,2013,21,Skopje_Miladinovci,PM10,34.39
1,6,2013,20,Skopje_Centar,PM10,
10,6,2013,22,Skopje_Rektorat,PM10,52.94
11,6,2013,18,Skopje_Karpos,PM10,27.08
3,6,2013,23,Skopje_Centar,PM10,
13,6,2013,6,Skopje_Lisice,PM10,37.66
2,6,2013,20,Skopje_Miladinovci,PM10,42.56
2,6,2013,8,Skopje_Centar,PM10,
5,6,2013,18,Skopje_Karpos,PM10,8.42
7,6,2013,13,Skopje_GaziBaba,PM10,4.38
22,5,2013,1,Skopje_Rektorat,PM10,30.93
6,6,2013,7,Skopje_Miladinovci,PM10,29.39
30,5,2013,19,Skopje_Mrsevci,PM10,
9,6,2013,20,Skopje_Karpos,PM10,26.32
28,5,2013,19,Skopje_Mrsevci,PM10,
21,5,2013,18,Skopje_Karpos,PM10,26.73
12,6,2013,6,Skopje_Centar,PM10,
10,6,2013,15,Skopje_Centar,PM10,
31,5,2013,7,Skopje_Centar,PM10,
31,5,2013,15,Skopje_Miladinovci,PM10,7.22
12,6,2013,22,Skopje_Lisice,PM10,20.03
29,5,2013,10,Skopje_Centar,PM10,
20,5,2013,10,Skopje_Lisice,PM10,64.02
23,5,2013,5,Skopje_GaziBaba,PM10,47.19
6,6,2013,11,Skopje_Rektorat,PM10,7.37
30,5,2013,22,Skopje_Mrsevci,PM10,
24,5,2013,21,Skopje_Rektorat,PM10,44.4
18,5,2013,6,Skopje_Karpos,PM10,75.84
